ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
27.36,10.38,53.3,8.96,0.0
25.0,12.12,54.92,7.95,0.0
27.92,12.37,51.59,8.13,0.0
25.36,12.32,54.35,7.25,0.72
27.91,13.66,51.16,7.27,0.0
26.69,13.85,52.36,7.09,0.0
25.15,13.03,54.24,7.58,0.0
26.88,14.34,51.25,7.53,0.0
24.92,13.44,53.11,8.52,0.0
24.93,15.13,51.63,8.31,0.0
26.02,14.29,51.53,8.16,0.0
25.91,13.77,53.44,6.48,0.4
26.69,12.81,54.09,6.41,0.0
26.16,11.83,54.48,7.53,0.0
28.42,13.01,51.71,6.51,0.34
25.39,15.23,51.95,7.42,0.0
26.33,13.45,52.1,7.84,0.28
25.95,14.12,53.44,6.11,0.38
29.65,12.83,50.88,6.64,0.0
25.76,10.61,56.06,7.58,0.0
26.96,11.95,51.88,8.87,0.34
27.95,14.29,51.55,6.21,0.0
26.23,13.93,51.91,7.92,0.0
25.25,17.33,51.49,5.94,0.0
24.4,15.31,53.11,7.18,0.0
26.52,12.19,54.12,7.17,0.0
25.58,16.28,51.55,6.2,0.39
25.92,13.8,54.08,6.2,0.0
24.54,13.92,52.01,9.52,0.0
24.49,14.29,53.06,7.35,0.82
25.34,11.64,55.14,7.19,0.68
25.38,13.59,53.85,7.18,0.0
27.52,14.77,51.01,6.38,0.34
26.52,13.81,52.49,7.18,0.0
27.47,14.84,51.1,6.04,0.55
27.5,11.39,53.61,7.5,0.0
27.92,13.96,52.08,6.04,0.0
27.38,12.55,52.85,7.22,0.0
26.18,14.16,52.79,6.87,0.0
29.69,13.54,50.22,6.55,0.0
29.28,12.17,50.66,7.89,0.0
25.62,11.33,54.68,8.37,0.0
27.37,14.74,50.79,7.11,0.0
24.82,13.31,53.96,7.19,0.72
26.39,14.24,51.74,7.64,0.0
27.32,14.75,51.09,6.83,0.0
26.37,13.55,53.48,6.23,0.37
24.43,15.8,51.72,8.05,0.0
27.04,14.07,51.85,7.04,0.0
24.68,13.31,53.9,7.79,0.32
26.17,14.09,53.02,6.71,0.0
26.36,13.33,53.03,7.27,0.0
24.39,14.63,53.25,6.91,0.81
29.87,13.33,49.07,7.73,0.0
27.52,13.42,52.01,7.05,0.0
26.58,12.24,54.85,6.33,0.0
26.63,17.16,50.3,5.92,0.0
25.49,13.33,52.16,8.24,0.78
26.22,12.94,52.8,7.69,0.35
28.86,13.42,51.01,6.71,0.0
24.92,13.42,53.99,7.35,0.32
25.09,15.33,51.92,7.67,0.0
24.75,13.71,52.84,8.7,0.0
26.77,14.13,51.3,7.81,0.0
26.37,12.67,52.4,8.56,0.0
28.36,12.73,50.18,8.0,0.73
25.92,14.65,52.11,6.48,0.85
25.6,14.29,53.27,6.85,0.0
24.84,12.89,54.4,7.86,0.0
26.61,13.17,52.38,7.56,0.28
26.84,12.5,51.47,9.19,0.0
25.33,12.66,54.59,7.42,0.0
28.42,13.16,51.58,6.84,0.0
27.37,13.33,51.93,7.37,0.0
25.47,14.23,53.56,6.37,0.37
26.46,13.76,52.38,7.41,0.0
28.64,14.08,51.94,5.34,0.0
27.04,13.36,52.77,6.84,0.0
29.03,11.56,52.96,5.91,0.54
26.55,12.07,53.45,7.93,0.0
25.93,12.96,53.09,8.02,0.0
27.34,13.86,51.69,7.12,0.0
27.97,11.86,53.39,6.78,0.0
25.47,16.98,50.0,7.55,0.0
25.3,11.89,55.49,6.71,0.61
24.8,13.62,52.86,8.72,0.0
26.14,15.15,51.52,7.2,0.0
28.67,13.31,49.15,8.53,0.34
25.77,12.69,54.62,6.92,0.0
26.82,13.18,52.73,6.36,0.91
26.22,13.62,52.96,7.2,0.0
26.13,13.57,52.76,7.04,0.5
28.93,12.89,51.57,6.6,0.0
25.17,12.07,53.1,9.66,0.0
26.12,14.29,52.24,7.35,0.0
25.84,11.99,53.18,8.61,0.37
27.63,13.23,52.92,5.84,0.39
26.37,14.79,52.73,6.11,0.0
27.27,13.45,52.36,6.91,0.0
28.67,12.94,51.4,6.64,0.35
25.76,14.02,53.41,6.44,0.38
27.03,13.51,51.74,7.72,0.0
26.9,11.03,55.52,6.55,0.0
27.69,14.01,52.12,5.86,0.33
25.48,12.55,52.85,8.75,0.38
25.35,12.15,55.21,5.9,1.39
26.59,12.7,52.78,7.94,0.0
30.67,14.11,50.31,4.91,0.0
26.36,12.02,55.04,6.59,0.0
25.33,14.41,54.15,6.11,0.0
28.02,13.19,51.65,7.14,0.0
25.83,12.91,51.66,9.6,0.0
25.1,13.77,53.04,7.69,0.4
25.65,14.13,53.16,6.69,0.37
27.27,15.38,50.0,7.34,0.0
24.2,15.3,52.31,7.47,0.71
25.24,13.59,53.88,7.28,0.0
30.25,10.49,51.54,7.72,0.0
28.83,11.31,53.65,6.2,0.0
26.02,17.07,50.0,6.91,0.0
26.28,12.97,53.92,6.83,0.0
26.14,15.03,52.29,6.54,0.0
24.84,13.23,54.52,7.42,0.0
27.88,13.46,51.92,6.73,0.0
26.7,11.78,52.62,8.9,0.0
28.89,11.43,52.06,7.3,0.32
26.32,12.72,54.39,6.58,0.0
26.99,14.53,52.94,5.54,0.0
26.67,14.44,51.85,7.04,0.0
26.73,14.11,51.95,6.91,0.3
27.35,14.1,51.71,6.84,0.0
25.28,13.58,54.72,5.66,0.75
26.41,12.55,54.55,6.49,0.0
26.32,14.14,51.97,7.24,0.33
23.39,15.32,52.02,9.27,0.0
26.54,9.95,55.45,8.06,0.0
26.1,13.97,53.31,6.62,0.0
26.8,12.71,52.92,7.56,0.0
27.44,12.8,51.52,7.93,0.3
28.0,10.0,53.0,9.0,0.0
25.53,14.71,53.15,6.61,0.0
24.92,13.1,54.31,7.67,0.0
26.93,11.97,54.11,6.48,0.5
25.09,11.81,53.87,8.86,0.37
27.11,12.89,53.42,6.32,0.26
25.56,14.07,52.22,7.78,0.37
25.17,15.1,51.68,7.38,0.67
24.68,13.46,53.85,7.69,0.32
28.32,12.24,52.8,6.29,0.35
25.17,12.76,55.17,6.9,0.0
27.81,14.79,50.3,7.1,0.0
29.52,12.55,50.18,7.75,0.0
27.12,13.56,53.22,6.1,0.0
25.27,13.0,54.51,6.86,0.36
30.49,13.41,49.59,6.5,0.0
24.55,16.52,52.23,6.7,0.0
26.1,13.84,53.14,6.92,0.0
26.55,13.56,52.54,7.34,0.0
26.72,12.6,53.44,6.49,0.76
27.66,10.64,51.6,9.57,0.53
28.49,11.68,52.42,7.41,0.0
26.52,14.38,52.08,7.03,0.0
25.53,13.48,54.96,6.03,0.0
29.21,11.39,50.99,8.42,0.0
27.27,13.2,52.2,6.16,1.17
27.03,10.14,54.73,7.09,1.01
27.4,11.64,53.77,7.19,0.0
25.81,12.19,54.12,7.89,0.0
25.83,12.91,53.97,7.28,0.0
25.96,12.68,53.39,7.67,0.29
26.29,12.89,53.61,7.22,0.0
23.93,14.53,53.85,7.69,0.0
26.42,13.64,52.27,7.39,0.28
29.57,15.05,50.0,5.38,0.0
26.41,13.65,52.52,7.42,0.0
29.63,14.81,49.74,5.82,0.0
27.16,12.35,54.73,5.35,0.41
26.73,15.09,50.0,8.18,0.0
27.0,14.5,53.0,5.5,0.0
27.16,13.58,52.47,6.79,0.0
25.93,14.81,51.11,8.15,0.0
27.4,11.06,54.81,6.25,0.48
26.89,12.13,53.44,7.21,0.33
24.5,14.5,54.0,7.0,0.0
26.55,12.41,54.14,6.9,0.0
24.92,13.88,53.63,7.57,0.0
28.52,12.79,52.46,6.23,0.0
27.27,13.29,53.15,5.94,0.35
25.86,12.76,53.45,7.59,0.34
26.56,13.02,53.12,7.29,0.0
