ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
24.92,14.2,51.1,8.2,1.58
25.47,12.73,52.06,9.74,0.0
26.06,12.75,53.26,7.65,0.28
28.08,11.64,53.42,6.85,0.0
26.14,14.39,52.65,6.82,0.0
25.46,13.28,54.24,7.01,0.0
27.92,13.78,52.65,5.65,0.0
25.4,13.49,52.78,8.33,0.0
28.01,11.4,52.12,8.47,0.0
24.65,12.68,53.87,8.8,0.0
26.64,13.14,52.55,7.66,0.0
25.98,14.95,50.53,8.19,0.36
27.32,11.94,52.52,7.96,0.27
24.56,15.2,52.63,7.02,0.58
27.09,12.75,51.39,7.97,0.8
25.72,12.54,53.7,8.04,0.0
25.68,13.78,54.05,6.49,0.0
25.25,12.96,52.49,9.3,0.0
28.05,11.59,51.83,8.54,0.0
26.32,12.5,54.93,6.25,0.0
26.64,14.23,51.46,6.57,1.09
26.38,12.99,52.76,7.87,0.0
25.62,15.62,52.5,6.25,0.0
26.7,11.17,53.4,8.25,0.49
26.59,12.08,53.47,7.25,0.6
25.59,13.13,52.86,8.42,0.0
27.21,13.43,51.59,7.77,0.0
26.06,14.16,51.56,8.22,0.0
27.66,12.06,53.9,6.38,0.0
27.33,12.67,53.33,6.67,0.0
26.89,14.75,51.15,6.56,0.66
27.7,12.23,50.72,9.35,0.0
25.22,15.49,52.21,7.08,0.0
28.84,13.17,51.41,6.58,0.0
28.08,12.69,53.08,5.77,0.38
26.21,13.96,51.57,8.26,0.0
25.0,14.83,52.97,7.2,0.0
26.51,11.24,53.31,8.65,0.29
24.78,13.99,54.52,6.71,0.0
28.65,14.05,50.0,7.3,0.0
24.83,11.07,55.7,8.05,0.34
28.49,12.85,52.23,6.42,0.0
25.77,11.34,54.3,8.59,0.0
25.3,16.21,51.78,6.72,0.0
28.26,14.4,50.54,6.52,0.27
25.18,13.12,53.19,8.51,0.0
26.15,13.46,52.69,7.69,0.0
24.63,16.26,49.75,9.36,0.0
26.97,11.8,53.65,7.58,0.0
25.81,12.19,54.12,7.89,0.0
25.95,15.14,52.43,6.22,0.27
25.38,14.02,53.79,6.82,0.0
26.21,14.11,52.42,7.26,0.0
26.6,12.28,53.45,7.67,0.0
25.82,12.09,53.02,9.07,0.0
26.98,11.51,53.6,7.91,0.0
26.16,13.62,51.25,8.6,0.36
25.52,14.34,52.8,7.34,0.0
26.92,13.99,51.75,6.99,0.35
25.94,13.91,52.26,7.89,0.0
25.52,10.98,54.6,8.9,0.0
26.18,11.27,54.55,8.0,0.0
28.06,13.73,51.64,6.27,0.3
26.47,13.53,52.94,5.88,1.18
26.92,14.62,50.0,8.08,0.38
25.07,14.45,53.39,7.08,0.0
25.97,12.02,55.04,6.59,0.39
24.62,12.94,54.06,8.38,0.0
25.95,14.12,51.91,8.02,0.0
24.66,16.44,52.05,6.85,0.0
26.43,15.86,51.1,6.17,0.44
24.91,13.96,52.83,8.3,0.0
27.72,13.68,51.93,6.32,0.35
25.32,13.61,53.48,7.59,0.0
27.67,11.65,53.4,7.28,0.0
27.52,13.95,50.39,8.14,0.0
25.62,12.81,52.31,9.25,0.0
25.99,12.33,54.19,7.49,0.0
24.56,15.2,49.71,9.94,0.58
27.11,12.89,52.44,7.56,0.0
27.31,13.87,51.68,7.14,0.0
26.16,11.83,54.48,7.53,0.0
25.98,13.88,52.31,7.47,0.36
24.91,14.88,51.21,7.27,1.73
28.89,11.67,51.94,7.22,0.28
26.35,12.64,54.15,6.86,0.0
25.1,13.13,55.21,6.56,0.0
30.67,14.11,49.69,5.52,0.0
26.35,12.57,53.29,7.19,0.6
24.92,13.74,52.72,7.99,0.64
27.17,13.32,53.26,5.98,0.27
25.72,13.18,53.7,7.4,0.0
27.95,12.05,51.79,7.95,0.26
28.18,12.71,53.04,6.08,0.0
25.09,14.02,53.14,6.64,1.11
28.3,12.74,51.89,7.08,0.0
25.98,15.35,51.57,6.69,0.39
25.58,11.63,54.15,7.97,0.66
27.27,13.64,52.27,6.82,0.0
25.47,12.73,52.06,9.74,0.0
25.19,15.12,50.78,8.91,0.0
26.49,12.97,53.51,7.03,0.0
25.0,13.86,51.81,9.34,0.0
28.38,13.96,50.9,6.76,0.0
29.06,15.27,49.75,5.91,0.0
28.24,12.5,52.78,6.48,0.0
25.0,10.56,56.11,8.33,0.0
25.91,12.77,54.01,7.3,0.0
26.61,11.93,54.74,6.73,0.0
26.56,12.45,53.94,6.64,0.41
26.05,15.35,51.16,7.44,0.0
30.52,11.04,50.65,7.79,0.0
25.19,15.12,52.33,7.36,0.0
26.37,13.55,52.38,7.33,0.37
25.44,12.01,53.71,8.83,0.0
27.43,13.14,51.43,8.0,0.0
26.8,12.43,53.87,5.8,1.1
25.0,11.4,55.51,7.72,0.37
26.11,12.17,52.82,8.9,0.0
25.72,13.18,53.7,7.4,0.0
24.6,14.89,52.1,8.09,0.32
26.74,12.83,52.94,6.95,0.53
25.51,12.88,52.78,8.84,0.0
25.41,14.66,53.09,6.84,0.0
24.41,14.05,53.51,8.03,0.0
27.44,14.33,50.91,7.32,0.0
27.03,14.41,50.75,7.81,0.0
24.44,16.0,52.89,6.67,0.0
27.99,12.63,51.19,8.19,0.0
27.93,14.1,51.06,6.91,0.0
27.03,12.07,53.28,7.35,0.26
27.72,11.58,53.33,7.02,0.35
25.37,10.73,55.12,8.29,0.49
24.76,13.65,53.97,7.62,0.0
27.34,12.5,51.95,7.81,0.39
24.81,13.91,53.38,7.52,0.38
25.4,12.06,53.65,8.57,0.32
25.6,14.16,52.71,7.53,0.0
25.38,14.62,53.46,6.54,0.0
26.28,14.96,51.82,6.57,0.36
23.69,12.2,54.01,10.1,0.0
26.91,13.45,52.36,6.91,0.36
25.44,12.54,53.66,8.01,0.35
26.8,13.06,52.58,6.53,1.03
26.97,12.03,51.45,9.13,0.41
28.21,12.31,54.36,5.13,0.0
29.47,13.68,49.82,7.02,0.0
26.28,11.26,54.95,7.17,0.34
27.27,13.2,52.49,6.74,0.29
27.24,12.41,52.07,8.28,0.0
27.63,11.84,50.66,8.55,1.32
26.26,12.59,53.24,7.55,0.36
27.24,14.55,50.37,7.84,0.0
25.14,15.85,51.91,7.1,0.0
25.1,15.79,53.04,6.07,0.0
26.33,11.74,54.8,7.12,0.0
25.69,13.04,54.55,5.93,0.79
26.01,12.45,52.75,8.79,0.0
25.41,12.97,54.59,7.03,0.0
26.33,14.29,52.38,7.0,0.0
28.62,11.72,51.38,7.93,0.34
25.72,13.77,50.72,8.7,1.09
27.99,13.43,51.49,7.09,0.0
28.05,12.5,53.96,5.49,0.0
25.93,10.44,54.55,9.09,0.0
26.62,13.31,52.47,6.84,0.76
27.44,14.29,51.88,6.02,0.38
26.32,12.5,50.99,9.87,0.33
28.14,12.2,52.2,7.12,0.34
25.42,12.92,53.33,8.33,0.0
28.75,13.42,51.12,6.71,0.0
25.7,14.44,52.82,7.04,0.0
26.5,14.53,51.85,7.12,0.0
27.96,12.19,52.69,6.81,0.36
26.22,12.94,53.5,6.99,0.35
25.4,11.9,53.7,8.68,0.32
25.61,13.72,52.74,7.62,0.3
25.38,14.68,53.21,6.42,0.31
26.81,14.86,50.72,7.61,0.0
26.43,13.57,54.64,5.36,0.0
25.21,14.33,53.01,7.45,0.0
27.3,14.37,52.3,5.75,0.29
25.93,14.81,52.31,6.94,0.0
26.43,13.06,52.87,7.64,0.0
28.25,12.7,51.11,7.62,0.32
29.43,13.58,50.19,6.79,0.0
25.19,13.91,54.51,5.64,0.75
31.01,13.92,50.0,5.06,0.0
27.27,12.94,52.8,6.99,0.0
25.45,12.9,54.12,6.81,0.72
26.24,12.55,54.37,6.84,0.0
27.1,13.28,52.85,6.78,0.0
25.67,10.67,54.33,9.33,0.0
26.23,13.93,52.87,6.97,0.0
24.33,16.0,51.33,7.33,1.0
26.2,12.55,53.87,7.38,0.0
27.65,10.24,53.24,8.53,0.34
25.77,15.38,51.54,7.31,0.0
27.02,14.04,52.98,5.61,0.35
27.31,11.54,51.92,8.85,0.38
25.83,12.91,52.32,8.94,0.0
27.96,10.9,52.13,9.0,0.0
25.36,16.67,51.45,6.52,0.0
27.31,13.45,52.1,7.14,0.0
27.74,12.5,53.05,6.71,0.0
24.81,13.16,54.51,7.14,0.38
25.77,14.62,52.31,6.92,0.38
26.39,12.85,53.47,7.29,0.0
25.66,12.83,52.83,8.68,0.0
25.19,14.07,53.33,7.41,0.0
27.04,13.8,51.83,7.32,0.0
26.71,13.03,53.42,6.51,0.33
24.6,13.59,53.72,7.77,0.32
27.1,11.29,53.87,7.74,0.0
25.85,15.61,49.76,8.78,0.0
26.23,13.89,51.54,8.02,0.31
27.21,12.5,53.68,6.25,0.37
27.16,14.51,51.54,6.48,0.31
27.76,12.46,53.74,5.69,0.36
28.57,12.86,52.14,5.71,0.71
25.62,13.17,53.74,7.47,0.0
24.68,13.64,53.9,7.79,0.0
25.92,14.08,52.96,7.04,0.0
24.26,14.1,53.77,7.87,0.0
25.32,14.42,53.53,6.73,0.0
24.81,13.91,53.38,7.52,0.38
26.67,13.7,52.59,6.67,0.37
28.17,14.93,50.99,5.63,0.28
26.15,12.05,55.64,6.15,0.0
27.3,12.97,50.85,8.53,0.34
26.32,13.68,52.98,7.02,0.0
26.15,14.49,51.94,7.42,0.0
25.25,11.15,54.1,9.51,0.0
26.06,12.32,53.52,7.04,1.06
23.81,14.68,51.98,8.33,1.19
27.13,14.34,51.94,6.59,0.0
27.36,13.03,52.44,7.17,0.0
28.21,12.82,50.92,8.06,0.0
25.09,14.23,53.18,7.49,0.0
25.33,12.0,53.0,9.33,0.33
27.27,12.88,51.89,7.95,0.0
25.82,13.09,53.45,6.91,0.73
28.21,12.82,50.92,8.06,0.0
27.85,12.75,53.02,6.38,0.0
29.47,10.93,53.64,5.96,0.0
27.81,14.2,52.37,5.62,0.0
29.26,12.59,51.11,7.04,0.0
29.08,13.78,51.53,5.61,0.0
25.76,14.24,52.73,7.27,0.0
27.11,12.54,52.77,7.58,0.0
26.98,14.03,52.16,6.83,0.0
26.3,11.69,54.87,6.82,0.32
23.64,18.18,51.36,6.82,0.0
26.67,14.07,52.59,6.3,0.37
26.98,12.7,53.57,6.35,0.4
26.23,14.21,52.19,7.38,0.0
28.06,12.26,52.58,6.77,0.32
27.31,14.86,51.81,6.02,0.0
26.4,11.88,53.8,7.59,0.33
25.12,15.76,52.71,6.4,0.0
26.34,13.39,53.12,6.7,0.45
24.86,11.48,53.55,10.11,0.0
25.87,13.95,52.62,7.27,0.29
24.67,15.33,53.33,6.67,0.0
25.86,13.79,52.59,7.47,0.29
26.53,13.99,51.6,7.87,0.0
25.14,12.16,52.7,10.0,0.0
25.45,14.91,51.64,8.0,0.0
27.22,13.33,52.22,7.22,0.0
25.0,13.12,54.37,7.5,0.0
25.48,15.21,52.85,6.46,0.0
26.87,11.22,52.72,9.18,0.0
26.81,11.36,53.31,8.52,0.0
24.52,13.55,54.19,7.74,0.0
25.42,14.83,53.39,6.36,0.0
23.9,16.98,52.2,6.92,0.0
26.71,13.98,52.48,6.83,0.0
25.45,11.83,54.12,8.24,0.36
29.55,14.14,49.24,7.07,0.0
26.47,12.87,53.31,7.35,0.0
26.67,11.9,54.29,7.14,0.0
27.06,12.35,53.53,7.06,0.0
26.28,14.68,51.19,7.85,0.0
28.57,12.18,53.78,5.46,0.0
27.1,11.45,51.91,9.16,0.38
26.48,12.65,52.57,7.91,0.4
30.09,12.54,50.47,6.9,0.0
25.55,13.14,52.92,8.39,0.0
26.82,13.64,53.64,5.91,0.0
26.58,13.61,52.85,6.96,0.0
25.17,12.94,54.9,6.64,0.35
29.21,12.03,51.2,7.56,0.0
27.52,13.46,51.68,7.03,0.31
25.52,13.02,53.12,7.81,0.52
28.05,11.88,52.48,7.26,0.33
27.98,10.09,53.9,8.03,0.0
26.89,11.36,53.03,8.33,0.38
25.74,12.13,54.41,7.72,0.0
25.49,11.76,55.56,7.19,0.0
27.72,14.39,51.23,6.32,0.35
24.85,15.38,51.18,8.58,0.0
26.23,14.2,52.47,6.79,0.31
24.92,13.44,54.1,7.54,0.0
27.27,15.15,49.09,8.48,0.0
26.77,14.96,51.18,6.69,0.39
27.0,16.35,50.19,6.08,0.38
25.08,11.86,54.58,8.47,0.0
24.2,16.44,52.05,7.31,0.0
26.61,13.18,53.23,6.72,0.26
25.97,13.85,52.81,6.93,0.43
27.14,12.5,52.5,7.5,0.36
27.31,13.25,52.21,7.23,0.0
25.68,15.56,50.97,7.78,0.0
25.42,13.56,54.8,6.21,0.0
24.89,14.77,52.32,7.59,0.42
25.39,15.05,52.04,6.9,0.63
28.81,12.35,52.67,5.76,0.41
28.32,12.94,50.7,8.04,0.0
25.57,11.36,55.4,6.53,1.14
26.01,13.0,53.25,7.74,0.0
26.46,14.4,52.14,7.0,0.0
28.35,11.86,52.06,7.73,0.0
23.76,15.18,53.14,7.59,0.33
24.77,14.68,53.82,6.73,0.0
24.69,13.58,54.32,7.41,0.0
26.88,12.5,52.5,6.88,1.25
27.41,15.44,50.58,6.56,0.0
27.3,13.65,51.75,6.98,0.32
27.06,15.69,49.41,7.45,0.39
25.77,13.46,53.85,6.92,0.0
25.27,13.56,53.72,7.45,0.0
25.41,12.7,52.77,9.12,0.0
26.8,13.4,50.86,8.93,0.0
26.05,14.18,51.34,8.43,0.0
28.62,13.47,51.52,6.4,0.0
25.73,14.04,52.63,7.6,0.0
25.31,13.58,52.47,8.64,0.0
26.73,13.84,52.52,6.92,0.0
25.82,13.09,53.45,7.64,0.0
27.8,14.24,51.53,6.44,0.0
28.16,11.17,53.4,6.8,0.49
26.04,14.13,52.35,7.2,0.28
26.95,12.67,52.83,7.28,0.27
26.21,12.76,54.48,6.55,0.0
27.63,11.25,53.55,7.09,0.49
25.9,13.31,53.6,6.47,0.72
24.79,13.22,53.31,8.68,0.0
24.64,14.49,52.17,8.7,0.0
28.41,13.26,51.14,6.82,0.38
25.77,13.19,52.76,7.67,0.61
24.47,11.7,54.96,8.87,0.0
28.02,13.04,52.17,6.76,0.0
28.26,11.74,51.74,7.83,0.43
24.81,14.66,51.88,8.27,0.38
26.39,12.5,53.12,7.99,0.0
26.55,12.41,54.14,6.9,0.0
27.34,13.48,51.69,7.49,0.0
26.64,13.87,53.28,6.2,0.0
26.9,12.5,52.17,8.42,0.0
29.82,11.99,50.29,7.31,0.58
26.18,12.93,51.74,8.83,0.32
26.86,14.84,51.24,6.71,0.35
27.04,12.59,52.96,7.41,0.0
25.84,12.36,53.93,7.87,0.0
25.17,12.76,53.79,8.28,0.0
27.08,12.92,52.0,8.0,0.0
26.32,13.45,53.8,5.85,0.58
28.16,13.06,51.43,7.35,0.0
26.61,14.92,52.42,6.05,0.0
24.86,11.43,55.14,8.29,0.29
25.85,12.59,54.08,7.48,0.0
25.41,14.05,52.97,7.57,0.0
25.86,12.07,54.83,6.21,1.03
25.19,13.33,54.81,5.93,0.74
27.4,13.36,52.4,6.85,0.0
27.34,10.86,52.43,8.99,0.37
26.1,15.07,52.57,5.88,0.37
26.46,15.56,49.81,8.17,0.0
27.63,11.49,53.55,7.09,0.24
27.97,12.59,51.75,7.69,0.0
27.7,12.84,52.36,6.76,0.34
25.95,14.87,51.9,6.96,0.32
28.22,13.5,51.84,6.44,0.0
25.5,12.5,53.75,8.0,0.25
28.57,12.21,52.21,7.01,0.0
28.02,13.74,52.75,5.49,0.0
24.54,16.56,51.53,7.36,0.0
29.17,12.08,52.08,6.67,0.0
25.28,13.96,53.58,6.79,0.38
25.98,12.46,54.45,7.12,0.0
25.87,12.21,54.36,7.56,0.0
26.97,13.03,51.52,8.48,0.0
25.08,13.33,53.97,7.62,0.0
25.41,14.59,50.81,9.19,0.0
26.14,12.86,53.94,7.05,0.0
25.95,11.89,53.51,8.65,0.0
25.31,14.51,52.78,7.1,0.31
26.71,12.38,53.09,7.82,0.0
26.67,13.0,53.67,6.67,0.0
25.13,11.14,55.7,8.03,0.0
26.96,11.6,54.95,6.14,0.34
25.47,14.63,52.57,6.78,0.54
26.74,14.29,51.65,7.33,0.0
27.3,15.02,50.51,6.48,0.68
28.57,14.69,49.39,7.35,0.0
24.58,16.1,53.39,5.93,0.0
26.8,13.75,52.92,6.53,0.0
26.28,12.82,52.88,7.69,0.32
28.27,13.09,52.36,6.28,0.0
27.27,15.99,48.9,7.84,0.0
25.26,13.42,53.68,7.37,0.26
25.87,11.67,54.26,8.2,0.0
25.0,14.23,50.77,9.23,0.77
26.3,13.49,52.25,7.61,0.35
25.35,13.73,52.46,8.45,0.0
27.04,14.44,51.48,7.04,0.0
27.3,13.31,51.54,7.17,0.68
25.82,13.07,53.59,7.52,0.0
28.29,12.79,51.55,7.36,0.0
26.67,13.33,52.8,7.2,0.0
27.1,13.74,51.91,7.25,0.0
25.82,13.52,53.28,7.38,0.0
26.1,11.03,55.15,7.35,0.37
27.2,16.0,49.2,7.6,0.0
27.46,11.53,53.9,7.12,0.0
28.49,13.17,50.27,7.53,0.54
25.38,13.85,52.69,8.08,0.0
26.16,11.47,53.76,8.6,0.0
23.65,12.84,53.72,9.12,0.68
25.38,14.77,53.79,6.06,0.0
24.26,12.5,54.78,8.46,0.0
27.16,12.54,51.94,8.06,0.3
24.85,13.33,53.64,8.18,0.0
26.63,13.58,52.74,6.79,0.26
26.6,13.83,51.06,8.51,0.0
28.25,12.71,52.82,5.93,0.28
26.48,12.54,53.66,7.32,0.0
24.69,12.04,54.32,8.64,0.31
26.72,15.09,52.59,5.6,0.0
26.62,12.29,52.22,8.53,0.34
25.5,13.94,52.59,7.97,0.0
27.42,15.05,51.08,5.91,0.54
26.97,13.48,52.81,6.37,0.37
26.86,13.59,51.78,7.44,0.32
25.7,12.72,53.94,7.63,0.0
30.69,14.85,49.5,4.95,0.0
24.32,11.58,54.05,10.04,0.0
28.1,12.39,51.66,7.85,0.0
28.08,11.3,53.77,6.85,0.0
27.0,14.33,51.79,6.89,0.0
26.67,12.82,53.33,7.18,0.0
26.23,12.3,54.51,6.97,0.0
24.66,14.35,52.02,8.97,0.0
27.3,13.12,52.76,6.82,0.0
26.6,14.1,52.39,6.65,0.27
27.11,13.99,53.06,5.83,0.0
25.85,12.93,55.1,6.12,0.0
25.23,12.46,55.02,6.99,0.3
29.52,12.65,50.6,6.93,0.3
24.3,10.92,54.93,9.86,0.0
26.27,12.16,54.9,6.67,0.0
28.43,12.09,51.31,8.17,0.0
25.71,14.69,52.24,7.35,0.0
27.49,10.88,53.17,8.46,0.0
25.25,11.8,54.75,7.54,0.66
26.37,15.02,51.28,6.59,0.73
28.3,13.19,51.65,6.59,0.27
26.28,13.14,52.92,7.3,0.36
24.9,15.95,51.36,7.78,0.0
26.78,10.51,54.58,6.78,1.36
25.38,14.02,52.27,8.33,0.0
26.37,14.73,51.71,7.19,0.0
25.85,15.25,51.69,7.2,0.0
25.57,15.65,52.29,6.49,0.0
26.3,13.15,53.63,6.92,0.0
28.53,11.6,52.04,7.21,0.63
25.71,13.48,52.35,8.15,0.31
25.94,11.97,53.87,7.48,0.75
25.9,14.39,52.16,7.55,0.0
25.71,12.14,54.64,7.5,0.0
26.38,15.32,51.91,5.96,0.43
25.43,15.03,53.18,5.78,0.58
25.67,11.67,52.67,10.0,0.0
26.12,12.94,51.99,8.96,0.0
25.77,11.92,55.38,6.92,0.0
27.99,12.58,51.89,7.55,0.0
25.27,12.37,54.84,7.53,0.0
23.83,19.16,49.07,7.94,0.0
25.75,13.97,53.15,7.12,0.0
25.59,13.13,52.86,8.42,0.0
28.19,11.97,52.12,7.34,0.39
28.1,11.57,54.13,6.2,0.0
28.0,11.69,51.69,8.62,0.0
26.53,13.78,52.55,7.14,0.0
28.17,12.92,50.39,8.27,0.26
25.68,13.6,53.17,7.25,0.3
26.83,12.74,52.57,7.59,0.27
27.9,14.11,51.72,5.96,0.31
28.17,13.38,50.0,8.45,0.0
26.51,13.25,52.61,7.63,0.0
27.84,11.72,53.11,6.96,0.37
24.6,12.62,53.4,9.39,0.0
26.98,12.59,51.08,8.99,0.36
26.84,14.34,52.21,6.25,0.37
25.19,15.27,52.67,6.87,0.0
25.25,12.38,54.95,7.43,0.0
24.35,12.17,53.04,9.57,0.87
29.24,12.29,50.5,7.97,0.0
23.91,15.22,51.45,9.42,0.0
24.18,17.31,51.34,7.16,0.0
26.74,13.92,53.11,6.23,0.0
27.17,14.16,52.31,6.07,0.29
26.69,12.81,52.31,7.47,0.71
26.61,13.18,53.23,6.72,0.26
26.28,12.82,53.53,7.05,0.32
26.56,13.02,53.12,7.29,0.0
25.3,14.33,51.83,8.54,0.0
24.43,14.5,52.67,8.4,0.0
25.0,13.58,53.09,7.41,0.93
26.13,13.24,54.7,5.92,0.0
27.16,12.24,53.43,7.16,0.0
30.23,14.53,50.0,5.23,0.0
27.08,12.62,54.77,5.54,0.0
24.86,14.36,53.59,7.18,0.0
28.63,11.54,51.71,8.12,0.0
26.78,12.84,52.73,7.38,0.27
25.94,14.64,50.63,8.79,0.0
26.59,11.08,54.29,7.76,0.28
23.7,18.48,49.76,8.06,0.0
27.27,12.3,54.55,5.88,0.0
30.23,12.09,51.16,6.51,0.0
26.81,10.72,54.42,8.04,0.0
25.3,15.77,50.89,8.04,0.0
25.54,11.87,55.4,7.19,0.0
25.08,15.48,52.63,6.81,0.0
27.3,13.83,52.13,6.74,0.0
25.0,13.12,54.37,7.5,0.0
26.14,13.64,52.27,7.67,0.28
28.45,13.8,50.99,6.76,0.0
25.43,15.81,51.89,6.19,0.69
26.23,12.7,54.51,6.56,0.0
27.13,13.56,51.1,8.2,0.0
26.2,13.24,52.11,7.61,0.85
26.92,13.08,53.08,6.92,0.0
24.49,13.06,53.06,8.98,0.41
25.26,12.8,53.98,7.61,0.35
26.21,10.68,54.85,8.25,0.0
26.98,12.95,53.24,6.83,0.0
25.82,10.44,55.49,8.24,0.0
27.27,11.23,55.61,5.88,0.0
24.65,14.42,53.95,6.51,0.47
28.27,12.01,53.71,6.01,0.0
24.77,15.77,51.8,6.76,0.9
28.77,12.33,52.4,6.51,0.0
24.71,14.67,52.9,7.34,0.39
27.31,14.06,51.41,7.23,0.0
26.27,14.24,52.85,6.65,0.0
26.9,13.45,52.76,6.9,0.0
25.71,13.88,53.06,7.35,0.0
26.59,13.11,54.31,5.99,0.0
26.12,11.57,54.48,7.84,0.0
26.07,13.68,53.42,6.84,0.0
25.48,14.83,51.33,8.37,0.0
29.18,12.13,50.82,7.54,0.33
25.84,12.77,51.37,8.81,1.22
25.45,13.84,54.02,6.7,0.0
26.76,13.03,51.41,8.45,0.35
25.1,12.35,56.18,5.98,0.4
25.09,12.37,53.0,9.54,0.0
26.86,14.56,52.43,6.15,0.0
25.38,13.64,54.92,5.68,0.38
24.73,14.25,53.23,7.53,0.27
26.92,15.0,51.92,6.15,0.0
27.11,14.67,51.11,7.11,0.0
25.08,13.5,53.38,7.72,0.32
26.28,12.18,53.21,8.33,0.0
26.37,14.84,52.2,6.04,0.55
25.4,13.71,52.02,8.87,0.0
26.64,14.6,52.55,6.2,0.0
27.81,13.44,49.06,9.38,0.31
28.52,12.27,52.71,6.14,0.36
27.13,14.2,52.68,5.99,0.0
27.87,13.24,52.61,5.57,0.7
26.77,14.96,52.76,5.51,0.0
25.87,12.93,53.63,7.57,0.0
25.5,12.75,54.58,6.77,0.4
24.92,13.25,54.26,7.57,0.0
27.37,10.95,52.55,8.76,0.36
26.21,14.11,52.42,7.26,0.0
30.0,11.5,51.0,7.5,0.0
24.81,13.95,54.26,6.98,0.0
25.88,15.88,52.35,5.88,0.0
27.62,11.89,52.8,7.69,0.0
25.4,14.11,52.82,7.66,0.0
27.6,13.26,51.61,7.53,0.0
24.64,16.67,51.45,6.52,0.72
27.88,11.21,55.15,5.76,0.0
28.52,9.84,54.43,7.21,0.0
27.36,12.16,52.7,7.77,0.0
28.66,12.2,51.83,7.32,0.0
25.25,12.96,52.49,9.3,0.0
29.94,14.69,50.28,5.08,0.0
26.64,13.82,52.3,7.24,0.0
26.49,13.37,53.96,6.19,0.0
29.5,11.87,51.08,6.83,0.72
26.71,12.64,53.07,7.22,0.36
25.19,14.5,53.82,6.49,0.0
24.76,15.71,50.0,9.05,0.48
25.19,13.91,54.51,5.64,0.75
23.81,13.89,53.57,8.33,0.4
25.75,12.57,51.5,10.18,0.0
29.17,15.1,50.0,5.21,0.52
26.76,15.49,50.7,7.04,0.0
26.54,12.69,53.08,7.31,0.38
25.33,13.0,53.67,7.67,0.33
26.42,13.71,52.17,7.36,0.33
25.61,14.88,52.6,6.23,0.69
27.05,11.3,54.11,7.53,0.0
28.33,11.6,52.56,7.51,0.0
29.38,14.95,50.0,5.67,0.0
24.92,13.25,54.26,7.57,0.0
23.14,13.64,52.07,10.74,0.41
28.33,13.61,51.11,6.94,0.0
26.74,12.81,53.2,7.24,0.0
27.21,12.37,51.24,8.83,0.35
29.03,11.83,52.69,6.45,0.0
26.09,14.62,52.17,6.72,0.4
26.54,11.97,53.07,7.77,0.65
23.33,16.67,51.11,8.89,0.0
25.84,14.23,52.81,6.74,0.37
27.13,13.3,52.39,7.18,0.0
25.38,13.08,54.62,6.92,0.0
25.27,14.65,53.11,6.23,0.73
27.31,13.28,53.51,5.9,0.0
26.09,13.04,52.96,7.91,0.0
24.5,13.58,53.97,7.62,0.33
25.0,13.03,53.52,7.39,1.06
26.79,12.5,54.29,6.43,0.0
27.06,12.11,52.84,7.73,0.26
27.88,12.79,51.15,7.93,0.26
28.74,11.74,52.63,6.48,0.4
26.01,13.01,54.05,6.65,0.29
25.33,13.33,54.13,7.2,0.0
26.35,12.5,52.03,9.12,0.0
26.48,13.4,52.96,6.54,0.62
28.63,12.1,53.23,6.05,0.0
26.79,13.08,52.34,7.79,0.0
24.44,15.56,52.0,7.56,0.44
26.19,13.69,51.49,8.33,0.3
26.05,12.64,54.79,5.75,0.77
29.17,12.88,50.76,7.2,0.0
26.64,13.5,53.28,6.57,0.0
26.5,10.09,56.15,6.94,0.32
24.83,14.29,52.04,8.5,0.34
25.75,11.98,53.29,8.38,0.6
24.79,14.76,50.7,9.75,0.0
26.55,13.28,52.26,7.63,0.28
25.75,13.81,52.24,7.84,0.37
24.73,13.74,53.85,7.69,0.0
28.8,13.29,51.27,6.65,0.0
25.97,13.51,53.51,7.01,0.0
24.84,14.01,53.5,7.64,0.0
25.0,10.62,56.51,7.88,0.0
29.0,12.64,51.3,7.06,0.0
27.24,14.42,51.6,6.73,0.0
25.59,14.48,51.52,8.08,0.34
29.37,10.71,52.38,7.54,0.0
26.99,12.34,53.21,7.46,0.0
25.0,16.12,50.99,7.89,0.0
25.24,13.42,53.67,6.71,0.96
25.08,11.25,56.27,7.4,0.0
27.4,12.6,52.05,7.67,0.27
25.75,11.98,54.19,7.78,0.3
25.0,15.73,50.4,8.47,0.4
26.19,14.29,52.72,6.8,0.0
24.76,13.5,54.02,7.72,0.0
25.91,12.96,53.44,7.69,0.0
26.35,12.81,51.97,8.87,0.0
26.95,14.18,51.06,7.45,0.35
27.05,13.17,52.67,7.12,0.0
27.14,14.45,51.62,6.78,0.0
24.34,13.82,53.95,7.89,0.0
27.75,11.54,53.3,7.42,0.0
25.54,13.85,52.92,7.08,0.62
25.62,13.44,53.44,7.5,0.0
29.88,12.35,50.37,6.91,0.49
29.05,12.84,51.07,6.73,0.31
28.03,13.38,50.64,7.96,0.0
29.72,10.38,52.83,6.6,0.47
25.43,11.68,56.01,6.53,0.34
26.52,11.83,54.48,7.17,0.0
28.07,13.68,50.18,8.07,0.0
29.07,12.79,51.16,6.98,0.0
27.46,12.7,52.87,6.56,0.41
26.27,11.39,54.43,7.59,0.32
28.52,13.33,51.48,6.67,0.0
25.87,12.21,53.49,8.43,0.0
26.98,12.23,53.96,6.83,0.0
